"event_id","event_date","event_date_basis","region","countries_or_territories","other_actors","indicator_category","event_type","event_title","reported_event_details","reported_economic_effects","reported_political_security_consequences","reported_humanitarian_effects","analytical_implications","war_causation_mechanisms","indicator_direction_analyst_assessment","metric_name","metric_value","metric_unit","metric_reference_period","metric_status","metric_qualifier","evidence_status","source_publisher","source_publication_date","source_url","additional_source_url","limitations","as_of_date","coverage_scope"
"GCI2026-031","2026-05-01","Event or announcement date","South America","Ecuador; Colombia","","Trade coercion and sanctions","Tariff implementation","Ecuador-Colombia tariff dispute escalates","Ecuador's announced 100 percent tariff took effect; Colombia formalized differentiated retaliatory rates on about 190 products.","Business groups reported a collapse in bilateral trade.","The dispute further strained bilateral relations.","","Reciprocal tariff escalation can amplify domestic pressure while reducing incentives for cooperative border management.","Economic coercion; retaliatory escalation","Escalatory","Ecuador's announced tariff rate","100","percent","Effective 2026-05-01","Reported policy","exact","News reporting; claims remain attributed where indicated","Reuters","2026-05-01","https://www.reuters.com/world/americas/colombia-ecuador-trade-collapsing-tariff-war-intensifies-business-groups-say-2026-05-01/","","Reuters noted uncertainty about the products covered by Ecuador's measure; do not apply this rate to every transaction.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-032","2026-05-01","Event or announcement date","Europe and South America","Argentina; Brazil; Paraguay; Uruguay","European Union","Trade integration and diplomacy","Agreement implementation","EU-Mercosur interim trade agreement begins provisional application","The European Commission records provisional application of the interim trade agreement from May 1.","The trade framework began operating provisionally.","","","Rules-based trade integration is a counter-indicator to a narrative of universal economic fragmentation.","Economic interdependence; institutional cooperation","De-escalatory","","","","","","","Primary institutional statement or assessment; see limitations","European Commission","","https://policy.trade.ec.europa.eu/eu-trade-relationships-country-and-region/countries-and-regions/mercosur/eu-mercosur-agreement_en","","Provisional application of the interim agreement is different from full ratification of the broader partnership agreement.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-033","2026-05-07","Event or announcement date","Southeast Asia","Thailand; Cambodia; Philippines","ASEAN","Diplomacy and crisis management","Diplomatic meeting","Thailand and Cambodia commit to trust-building measures","Leaders met at an ASEAN gathering and agreed to pursue trust-building and normalization after the previous year's border fighting.","","The meeting supported an existing fragile ceasefire.","","Regional mediation and communication can reduce misperception around contested borders.","Information exchange; territorial bargaining; mediation","De-escalatory","","","","","","","News reporting; claims remain attributed where indicated","Reuters","2026-05-07","https://www.reuters.com/world/asia-pacific/thai-cambodian-leaders-meet-asean-sidelines-amid-uneasy-truce-2026-05-07/","","The meeting did not resolve every boundary issue or establish that displaced people could safely return.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-034","2026-05-07","Publication or assessment date; reference period may differ","Latin America and Caribbean","United States; Cuba","UN independent experts; oil suppliers","Energy and maritime chokepoints","Assessment release","UN experts warn of humanitarian effects of Cuba fuel restrictions","UN experts criticized U.S. measures threatening tariffs on countries supplying Cuba with oil.","The experts linked fuel restrictions to severe development pressures.","","They warned of serious human-rights consequences.","Energy coercion can transmit political pressure through civilian services and livelihoods.","Economic coercion; resource security; humanitarian vulnerability","Escalatory","","","","","","","News reporting; claims remain attributed where indicated","Reuters / UN experts","2026-05-07","https://www.reuters.com/legal/government/un-experts-warn-us-fuel-blockade-cuba-puts-human-rights-risk-2026-05-07/","","This row records the May assessment of measures initiated in January; it does not assign every Cuban economic problem to those measures.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-035","2026-05-14","Taiwan's response date; summit occurred in the preceding days","East Asia","United States; China; Taiwan","","Diplomacy and crisis management","Diplomatic response","Taiwan responds to U.S.-China summit","Taiwan said the Trump-Xi summit produced no surprises and urged China to stop military pressure. Xi warned of conflict risks over Taiwan.","","High-level U.S.-China dialogue continued alongside unresolved sovereignty tensions.","","Leader-level contact can support crisis management without resolving the underlying commitment and sovereignty disputes.","Information exchange; territorial claims; commitment problems","Mixed","","","","","","","News reporting; claims remain attributed where indicated","Reuters","2026-05-14","https://www.reuters.com/world/china/taiwan-no-surprises-trump-xi-summit-china-should-end-military-pressure-2026-05-14/","","Dialogue is not a security guarantee, a peace treaty or evidence that military pressure ended.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-036","2026-05-22","Event or announcement date","Global","Multiple countries","Nuclear Non-Proliferation Treaty states parties; United Nations","Nuclear weapons and arms control","Conference outcome","NPT review conference ends without consensus","The review conference ended without an agreed consensus outcome after four weeks of negotiations.","","States failed to agree on a common review document.","","Failure to agree weakens a diplomatic channel for addressing disarmament and non-proliferation disputes.","Institutional weakness; commitment problems","Escalatory","","","","","","","Primary institutional statement or assessment; see limitations","United Nations","2026-05-22","https://press.un.org/en/2026/dc3912.doc.htm","https://www.sipri.org/media/press-release/2026/increasing-focus-nuclear-weapons-amid-heightened-escalation-risks-new-sipri-yearbook-out-now","Failure of a review conference does not terminate the NPT or establish that all states have abandoned their treaty obligations.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-037","2026-06-02","Publication or assessment date; reference period may differ","Global","Multiple countries","World Meteorological Organization","Food security and climate stress","Forecast release","WMO urges preparation for El Nino","WMO forecast an 80 percent likelihood of El Nino during June-August 2026.","","","","Seasonal climate risks can compound food and energy shocks, particularly where conflict already limits adaptation.","Resource stress; humanitarian vulnerability","Contextual","Probability of El Nino","80","percent","2026-06 through 2026-08","Forecast","exact","Primary institutional statement or assessment; see limitations","World Meteorological Organization","2026-06-02","https://wmo.int/news/media-centre/wmo-prepare-el-nino","","A climate probability is not a probability of war; regional effects vary and later forecasts supersede this vintage.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-038","2026-06-08","Publication or assessment date; reference period may differ","Global","United States; Russia; United Kingdom; France; China; India; Pakistan; North Korea; Israel","SIPRI","Nuclear weapons and arms control","Data and assessment release","SIPRI publishes January 2026 nuclear inventory estimates","SIPRI estimated 12,187 total warheads, including about 9,745 in military stockpiles and 4,012 deployed.","","The report warned of increasing reliance on nuclear weapons and reduced transparency.","","Inventory and alert posture affect potential escalation consequences; they do not demonstrate that nuclear use is imminent.","Security dilemma; deterrence; information uncertainty","Contextual","Total global nuclear inventory","12187","warheads","2026-01","Estimate","approximately","Research dataset or assessment; methodology-specific","SIPRI","2026-06-08","https://www.sipri.org/media/press-release/2026/increasing-focus-nuclear-weapons-amid-heightened-escalation-risks-new-sipri-yearbook-out-now","","Total inventory includes retired warheads awaiting dismantlement; it is not the deployed-warhead count.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-039","2026-06-09","Publication or assessment date; reference period may differ","Global","Multiple countries","Uppsala Conflict Data Program","Conflict incidence and internationalization","Retrospective data release","UCDP reports record state-based conflict count for 2025","UCDP recorded 65 state-based conflicts in 2025, including eight interstate conflicts and thirteen conflicts reaching war intensity.","","The release documented a rise in interstate conflict within its dataset.","","The figures provide background to 2026 escalation concerns but cannot establish a single connected world war.","Conflict diffusion; internationalization","Contextual","State-based conflicts","65","conflicts","2025","Historical dataset count","exact","Research dataset or assessment; methodology-specific","Uppsala University / UCDP","2026-06-09","https://www.uu.se/en/news/2026/2026-06-09-ucdp-record-number-of-conflicts-between-states","","2026 publication of 2025 data. Interstate conflicts and war-intensity conflicts are different classifications and should not be added.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-040","2026-06-11","Publication or assessment date; reference period may differ","Global","Multiple countries","UNHCR; displaced populations; host countries","Humanitarian consequences","Retrospective data release","UNHCR publishes global forced-displacement baseline","UNHCR reported 117.8 million forcibly displaced people worldwide at the end of 2025.","","","The figure describes a large population requiring protection and support.","Displacement affects host-country services and politics, but responses depend on institutions and policy choices.","Humanitarian vulnerability; domestic political pressures","Contextual","Forcibly displaced people worldwide","117800000","people","End of 2025","Historical estimate","approximately","Primary institutional statement or assessment; see limitations","UNHCR","2026-06-11","https://www.unhcr.org/us/about-unhcr/overview/figures-glance","","A stock of displaced people, not new displacement during 2026 or a death toll.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-041","2026-06-19","Event or announcement date","Middle East","Israel; Lebanon; United States; Qatar; Iran","Hezbollah","Diplomacy and crisis management","Ceasefire announcement","Israel-Hezbollah ceasefire announced with international mediation","A senior U.S. official said Israel and Hezbollah agreed to a ceasefire negotiated with U.S., Qatari and Iranian involvement.","","The agreement created a pause in a linked regional conflict.","","Mediation involving different partners can interrupt escalation across connected theaters.","Mediation; credible commitments; alliance management","De-escalatory","","","","","","","News reporting; claims remain attributed where indicated","Reuters","2026-06-19","https://www.reuters.com/world/middle-east/israeli-hezbollah-agree-ceasefire-starting-friday-us-official-2026-06-19/","","Attributed to a U.S. official. A ceasefire announcement is not proof of permanent compliance or a political settlement.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-042","2026-06-20","Publication date; report dated 2026-06-19","Middle East","Palestine; Israel","UN OCHA; Health Cluster","Humanitarian consequences","Situation report","Gaza health report describes dialysis-treatment shortages","OCHA reported a shortage of therapeutic erythropoietin affecting dialysis care.","","","More patients required blood transfusions, adding pressure to blood supplies and hospital capacity.","Prolonged disruption to medical supply systems creates harm extending beyond immediately recorded battle casualties.","Humanitarian vulnerability; state and service capacity","Contextual","","","","","","","Primary institutional statement or assessment; see limitations","UN OCHA occupied Palestinian territory","2026-06-20","https://www.ochaopt.org/content/humanitarian-situation-report-19-june-2026","","The shortage began before 2026. This row records its documented persistence, not a new June onset.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-043","2026-07-08","Publication or assessment date; reference period may differ","Global","Multiple countries","International Monetary Fund","Macroeconomic and financial conditions","Forecast release","IMF July update combines weaker growth and renewed inflation pressure","The IMF projected 3.0 percent global growth and 4.7 percent headline inflation for 2026.","The outlook described diverging effects across energy exporters, technology-linked economies and vulnerable importers.","","","The shock is uneven; a global average can conceal large differences in national resilience.","Resource shocks; economic interdependence; fiscal capacity","Contextual","Global real GDP growth","3","percent","2026","Forecast","exact","Primary institutional statement or assessment; see limitations","International Monetary Fund","2026-07-08","https://www.imf.org/-/media/files/publications/weo/2026/update/july/english/text.pdf","","July forecast vintage; not actual 2026 growth. Inflation and growth are separate measures.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-044","2026-07-08","Event or announcement date","Euro-Atlantic","United States; Canada; Turkey; European NATO member countries","NATO","Alliances and military capacity","Summit declaration","NATO announces new procurement and manufacturing commitments","The Ankara declaration announced more than USD 50 billion in new procurements and expanded collective manufacturing commitments.","The commitments support defence production and industrial capacity.","Allies reaffirmed a combined nuclear, conventional, missile, cyber and space posture.","","Capacity building can strengthen deterrence and create reciprocal threat perceptions.","Balancing; security dilemma; alliance cohesion","Mixed","New procurement commitments","50","USD billion","Announced 2026-07-08","Announced","more than","Primary institutional statement or assessment; see limitations","NATO","2026-07-08","https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2026/07/08/the-ankara-summit-declaration","","Commitments are not equivalent to completed deliveries, annual spending or a declaration of war.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-045","2026-07-21","Event or announcement date","Southeast Asia","China; Philippines","China Coast Guard; Philippine Navy","Interstate tensions and proxy support","Diplomatic confrontation","China and Philippines summon envoys after maritime encounter","The two governments summoned each other's representatives following a disputed South China Sea encounter.","","The parties issued conflicting accounts of responsibility.","","Repeated maritime encounters can create miscalculation and alliance-entanglement risks.","Territorial disputes; misperception; alliance entanglement","Escalatory","","","","","","","News reporting; claims remain attributed where indicated","Reuters","2026-07-21","https://www.reuters.com/world/china/china-summons-philippine-ambassador-over-south-china-sea-encounter-2026-07-21/","","Descriptions of ramming and attacks are disputed allegations; no finding of responsibility is made.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-046","2026-07-21","Publication or assessment date; reference period may differ","Global","Multiple countries","International Energy Agency; participating governments","Energy and maritime chokepoints","Implementation update","IEA reports substantial emergency-stock drawdown","The IEA reported 290 million barrels released since the March collective action.","Emergency inventories had supplied the market during prolonged disruption.","","","Drawdowns cushion current scarcity but reduce stocks available for subsequent shocks.","Collective action; resource security","Mixed","Emergency oil released","290","million barrels","2026-03-11 through report date","Reported estimate","exact","News reporting; claims remain attributed where indicated","Reuters / IEA","2026-07-21","https://www.reuters.com/business/energy/iea-says-members-have-released-290-million-barrels-oil-since-march-11-2026-07-21/","","Cumulative reported release is distinct from the original 400-million-barrel availability commitment.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-047","2026-07-25","Event or announcement date","Europe and East Asia","Ukraine; Russia; North Korea","","Conflict incidence and internationalization","Attributed allegation","Ukraine alleges plans for additional North Korean deployment","Zelenskiy said Russia intended to bring in 30,000 North Korean troops and was preparing to receive them.","","The statement highlighted potential expansion of external participation in the war.","","Additional foreign forces could deepen links between European and East Asian security dynamics.","Alliance entanglement; proxy support; conflict diffusion","Escalatory","Additional deployment alleged by Ukrainian president","30000","troops","Prospective deployment discussed 2026-07-25","Alleged plan","exact","Attributed claim or assessment; not independently established here","Reuters","2026-07-25","https://www.reuters.com/business/aerospace-defense/ukraines-zelenskiy-russia-wants-bring-30000-north-korean-troops-conflict-2026-07-25/","","This is a claimed future plan, not a verified count of arrivals. See the August 24 assessment for qualification.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-048","2026-07-31","Publication or assessment date; reference period may differ","Southeast Asia","Cambodia; Thailand","UN expert; displaced civilians","Humanitarian consequences","Assessment release","Displacement persists after Cambodia-Thailand fighting","A UN expert reported more than 20,000 Cambodian civilians still displaced along the Thai border.","","","Displacement continued despite a bilateral ceasefire.","A pause in fighting may leave unresolved security and livelihood barriers to return.","Territorial disputes; credible commitments; humanitarian vulnerability","Contextual","Cambodians still displaced","20000","people","As reported 2026-07-31","Reported estimate","more than","News reporting; claims remain attributed where indicated","Reuters / UN expert","2026-07-31","https://www.reuters.com/world/asia-pacific/over-20000-cambodians-still-displaced-along-thai-border-un-expert-says-2026-07-31/","","The displacement followed fighting in 2025; it is not a count of people newly displaced during July 2026.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-049","2026-08-24","Event or announcement date","Central Africa","Democratic Republic of the Congo; Rwanda; Qatar; Switzerland; United States","AFC/M23; ceasefire monitors","Diplomacy and crisis management","Monitoring deployment","Ceasefire monitors deploy in eastern Congo","Monitors deployed following a renewed roadmap for negotiations between the government and AFC/M23.","","The Doha process ran alongside U.S.-mediated Congo-Rwanda talks.","","Monitoring may improve information and compliance; parallel mediation tracks require coordination.","Commitment problems; monitoring; mediation","De-escalatory","","","","","","","News reporting; claims remain attributed where indicated","Reuters","2026-08-24","https://www.reuters.com/world/africa/ceasefire-monitors-deploy-eastern-congo-under-qatari-peace-deal-2026-08-24/","","Deployment does not prove an end to fighting. Hoped-for mining investment is not recorded as a realized economic gain.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-050","2026-08-24","Publication or assessment date; reference period may differ","Europe and East Asia","South Korea; North Korea; Russia; Ukraine","South Korean defence ministry; lawmaker's office","Conflict incidence and internationalization","Attributed assessment","South Korean assessment qualifies imminent-deployment claims","A lawmaker's office reported preparations for further North Korean deployments but no sign that a deployment was imminent.","","The assessment distinguished preparation from an immediate movement of troops.","","This qualifies earlier escalation claims and illustrates uncertainty about partners' military intentions.","Private information; alliance entanglement","Mixed","","","","","","","Attributed claim or assessment; not independently established here","Reuters","2026-08-24","https://www.reuters.com/business/aerospace-defense/north-korea-preparing-further-russia-troop-deployments-no-sign-move-imminent-2026-08-24/","","An attributed intelligence-related assessment is not independent verification of either deployment timing or troop numbers.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-051","2026-08-31","Publication or assessment date; reference period may differ","East Asia","China; Taiwan; United States","","Interstate tensions and proxy support","Defence assessment release","Taiwan warns of growing Chinese air and sea control","Taiwan described expanding Chinese military pressure nearby while the U.S. continued arms support and ambiguity about intervention.","","The assessment underscored unresolved cross-strait security tensions.","","Persistent pressure can shorten perceived decision time without constituting an invasion.","Security dilemma; territorial disputes; misperception","Escalatory","","","","","","","News reporting; claims remain attributed where indicated","Reuters","2026-08-31","https://www.reuters.com/business/aerospace-defense/taiwan-says-unpredictable-china-strengthens-air-sea-control-nearby-2026-08-31/","","The account is Taiwan's assessment. The row does not claim that a Chinese invasion or U.S.-China war had begun.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-052","2026-09-01","Event or announcement date","Middle East","United States; Iran","U.S. Central Command; Islamic Revolutionary Guard Corps","Interstate combat and intervention","Military action","U.S. reports renewed strikes on IRGC targets","CENTCOM released video and a statement reporting strikes on IRGC targets in Iran.","","The release documented continued direct U.S. combat participation.","","Repeated strikes create further opportunities for retaliation and maritime spillover.","Escalation; coercive bargaining","Escalatory","","","","","","","Primary institutional statement or assessment; see limitations","U.S. Central Command","2026-09-01","https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4588389/centcom-completes-strikes-on-irgc-targets-in-iran/","","Belligerent-source account; damage and military effectiveness are not independently quantified.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-053","2026-09-03","Observation date; published 2026-09-04","Middle East and Global","Iran; Oman","Kpler; commercial shippers","Energy and maritime chokepoints","Market observation","Observed Hormuz commodity-vessel transits fall sharply","Kpler data reported by Reuters recorded four commodity vessels crossing on September 3, below a ten-day average of fifteen.","The count indicated constrained observable commercial movement through the chokepoint.","","","Persistent shipping restrictions can raise transport costs and disrupt access to energy and inputs.","Resource security; coercion; economic spillovers","Escalatory","Observed commodity-vessel transits","4","vessels","2026-09-03","Observed tracking count","exact","News reporting; claims remain attributed where indicated","Reuters / Kpler","2026-09-04","https://www.reuters.com/world/middle-east/gulf-shipping-traffic-via-hormuz-keeps-below-10-day-average-data-shows-2026-09-04/","","The count excludes vessels with tracking transponders disabled and is not a count of all vessel types.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-054","2026-09-03","Publication or assessment date; reference period may differ","Northeast Africa","Sudan; United Arab Emirates; Chad; Libya; Somalia; Colombia","Sudanese Armed Forces; Rapid Support Forces; UN fact-finding mission","Conflict incidence and internationalization","Investigation report","UN investigation links foreign networks and drones to Sudan war","UN investigators described foreign supply networks and more than 1,000 drone-attack deaths in the first half of 2026.","","","The report identified civilian harm and possible war crimes.","External financing, personnel and weapons can prolong civil wars and connect them to wider rivalries.","External support; conflict diffusion; state fragmentation","Escalatory","Deaths in drone attacks reported by investigators","1000","people","2026-01 through 2026-06","Reported estimate","more than","News reporting; claims remain attributed where indicated","Reuters / UN fact-finding mission","2026-09-03","https://www.reuters.com/world/americas/foreign-support-drones-fuel-sudan-war-possible-war-crimes-un-probe-says-2026-09-03/","","Named countries are associated with alleged networks, not all proven state sponsors. Relevant governments denied allegations; possible war crimes are not court judgments.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-055","2026-09-03","Publication or assessment date; reference period may differ","Global","Multiple countries","World Meteorological Organization","Food security and climate stress","Forecast update","WMO forecasts persistent and potentially very strong El Nino","WMO reported a near-certain likelihood that El Nino would persist through February 2027 and warned of extreme-weather risks.","","","","Climate shocks may interact with disrupted trade and food systems; effects vary substantially by region.","Resource stress; humanitarian vulnerability","Contextual","Likelihood El Nino persists","100","percent","Through 2027-02","Forecast","nearly","Primary institutional statement or assessment; see limitations","World Meteorological Organization","2026-09-03","https://wmo.int/news/media-centre/el-nino-set-become-very-strong-raising-risks-of-extreme-weather-2027","","The probability concerns El Nino persistence, not a particular disaster or armed conflict.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-056","2026-09-04","Publication or assessment date; reference period may differ","Global","United States; Ukraine; Multiple countries","FAO; European Union; food importers and producers","Food security and climate stress","Data release","FAO reports higher August food commodity prices","The FAO Food Price Index averaged 133.3 in August, rising 1.9 percent month-on-month and 2.5 percent year-on-year.","FAO cited weather risks, conflict and disrupted trade logistics.","","","Higher international food prices can worsen purchasing-power pressures where incomes and safety nets are weak.","Resource shocks; domestic economic pressures","Contextual","FAO Food Price Index","133.3","index points","2026-08","Observed index","exact","Primary institutional statement or assessment; see limitations","Food and Agriculture Organization","2026-09-04","https://www.fao.org/newsroom/detail/supply-concerns-drive-fao-food-price-index-higher/en","","International commodity index, not national grocery-price inflation. Weather and trade factors prevent attribution to war alone.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-057","2026-09-05","Event or announcement date","Middle East","United States; Iran","U.S. Central Command; Islamic Revolutionary Guard Corps","Interstate combat and intervention","Military action","U.S. reports strikes on three Iranian oil carriers","CENTCOM said it struck three Iranian crude-oil carriers after Iran targeted two U.S. Navy warships.","Oil-shipping assets were directly targeted.","","","Attacks on vessels link military confrontation to energy export capacity and navigation risk.","Retaliatory escalation; resource coercion","Escalatory","Oil carriers struck according to CENTCOM","3","vessels","2026-09-05","Belligerent claim","exact","Primary institutional statement or assessment; see limitations","U.S. Central Command","2026-09-05","https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4591744/centcom-destroys-3-irgc-oil-tankers-after-iran-targets-2-us-navy-warships/","","The sequence, vessel affiliation and damage description are attributed to CENTCOM.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-058","2026-09-08","Event or announcement date","Europe and Middle East","France; Israel; Palestine; United Kingdom; Canada","","Trade coercion and sanctions","Policy announcement","France announces planned restrictions on settlement products","France announced plans to ban imports from Israeli settlements in the occupied West Bank.","","The government cited settlement expansion and threats to a two-state solution; EU-wide agreement remained difficult.","","Economic restrictions show diplomatic fragmentation around the conflict without establishing military participation.","Territorial disputes; economic coercion; institutional disagreement","Mixed","","","","","","","News reporting; claims remain attributed where indicated","Reuters","2026-09-08","https://www.reuters.com/world/europe/france-ban-products-israeli-settlements-west-bank-foreign-minister-2026-09-08/","","Implementation timing and detailed coverage were not settled in the cited report; this was not a blanket ban on Israeli goods.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-059","2026-09-08","Event or announcement date","Europe","Germany; Ukraine; Russia","NATO; European Union","Alliances and military capacity","Military-aid announcement","Germany announces additional Patriot interceptors for Ukraine","Germany announced urgent transfers of additional Patriot PAC-2 interceptors from national stocks.","","The announcement responded to concerns about intensified attacks on Ukrainian infrastructure.","","Air-defence support can protect civilians while drawing on finite donor inventories and linking allied defence planning.","Balancing; alliance support; resource constraints","Mixed","","","","","","","News reporting; claims remain attributed where indicated","Reuters","2026-09-08","https://www.reuters.com/business/aerospace-defense/germany-send-more-patriot-missiles-ukraine-warns-stepped-up-russian-winter-2026-09-08/","","An announcement is not proof of delivery. No unsupported missile quantity is assigned.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-060","2026-09-08","Page update date; not the onset date of the crisis","Latin America and Caribbean","Haiti","Armed gangs; International Rescue Committee","Humanitarian consequences","Situation assessment update","Haiti assessment documents large-scale displacement and hunger","The IRC's updated assessment reported nearly 1.5 million displaced people and about 5.8 million people lacking enough food.","","","Displacement, hunger and insecurity remained widespread.","Armed-group control and weak services can generate regional humanitarian and migration pressures without becoming interstate war.","State capacity; armed-group governance; humanitarian vulnerability","Contextual","People displaced","1500000","people","As reported in update 2026-09-08","Estimate","nearly","Primary institutional statement or assessment; see limitations","International Rescue Committee","2026-09-08","https://www.rescue.org/article/haitis-gang-violence-crisis-what-know-and-how-help","","Cumulative stock estimate. The displacement and hunger populations overlap and must not be added.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
